15.27 per hour
70766 per year  
22.49 per hour
13.04 per hour
15.84 per hour
12.69 per hour
94441 per year  
255127 per year  
86252 per year
219265 per year
62956 per year  
67169 per year
 1217 per week 
18.29 per hour
45813 per year  
45145 per year
83727 per year
12.73 per hour
20.14 per hour
15.62 per hour
11.70 per hour
11.76 per hour
19.18 per hour
14.30 per hour
102905 per year
75867 per year
83620 per year  
16.80 per hour  
26.51 per hour  
20.53 per hour  
210715 per year
83459 per year 
11.16 per hour 
11.72 per hour 
12.08 per hour  
67727 per year  
83348 per year  
63380 per year  
51249 per year
45.93 per hour  
42.57 per hour
45101 per year  
48084 per year 
34.40 per hour  
105323 per year
92609 per year  
140419 per year  
57469 per year
12.21 per hour 
13.66 per hour
55179 per year  
11.29
72093 per year  
12.71 per hour  
12.43 per hour  
38880 per year
107526 per year  
56932 per year  
25.82 per hour  
12.27 per hour  
15.62 per hour  
 18.61 per hour 
 15.24 per hour 
60073 per year
84687 per year  
15.38 per hour
67703 per year 
10.60 per hour  
10.79 per hour
13.92 per hour  
213760 per year  
11.72 per hour  
11.84 per hour  
11.32 per hour  
32.45 per hour  
 11.62 per hour 
40182 per year  
33.79 per hour
48704 per year
13.24 per hour 
13.67 per hour  
90431 per year
90468 per year  
88522 per year 
27.44 per hour
258125 per year 
27.48 per hour  
1368 per week  
14.70 per hour  
43.31 per hour  
14.41 per hour  
15.69 per year
51413 per year  
170363 per year  
49242 per year
44.77 per hour 
84807 per year
223768 per year  
89080 per year 
78813 per year  
21.13 per hour
72907 per year  
43320 per year
13.93 per hour
 86286 per year 
12.41 per hour  
59790 per year
13.36 per hour 
86944 per year  
44361 per year
15.09 per hour 
12.41 per hour  
12.22 per hour
11.84 per hour
50589 per year
116172 per year 
25.39 per hour 
247516 per year 
88478 per year 
120950 per year  
104805 per year
199566 per year 
31.02 per hour 
31.06 per hour  
1339 per week 
14.92 per hour  
16.27 per hour 
141272 per year  
52.48 per hour
84103 per year 
21.49 per hour  
13.18 per hour   
23.89 per hour  
180595 per year  
19.71 per hour  
16.14 per hour  
13.56 per hour  
15.10 per hour
86611 per year  
120643 per year
14.34 per hour 
39597 per year  
34117 per year  
14.05 per hour  
19.57 per hour 
50261 per year
53111 per year 
71180 per year
210225 per year  
1291 per day  
131420 per year  
15.39 per hour  
253778 per year  
16.10 per hour  
57740 per year
225399 per year  
15.31 per hour  
13.10 per hour 
13.3 per hour
15.31 per hour  
29.23 per hour 
29.15 per hour  
44.78 per hour  
237875 per year  
221015 per year  
50677 per year 
13.66 per hour 
108569 per year  
80628 per year 
88552 per year  
187570 per year 
33.73 per hour  
85480 per year  
10.78 per hour 
35162 per year
121687 per year  
84225 per year  
248126 per year  
21.39 per hour  
87442 per year
69778 per year
277747 per year  
1718 per week  
38.18 per hour
98719 per year 
23.08 an hour  
106089 per year  
12.73 per hour
17.76 per hour  
15.28 per hour  
26.43 per hourÂ  
17.75 per hour 
14.07 per hour 
13.82 per hour  
13.18 per hour
13.42 per hour  
14.06 per hour
57836 per year  
21.56 per hour  
15.75 per hour  
14.80 per hour 
81764 per year  
19.30 per hour  
13.47 per hour
28.32 per hour  
47463 per year 
12.68 per hour 
43098 per year 
14.80 per hour 
77383 per year  
28.96 per hour  
17.78 per hour 
13.30 per hour
47524 per year  
16.46 per hour
55078 per year 
45316 per year
80570 per year  
13.3 per hour
11.70 per hour   
15.63 per hour  
23.35 per hour
56543 per year 
45859 per year 
83284 per year  
15.49 per hour  
13.49 per hour
14.14 per hour 
12.68 per hour  
68269 per year
16.63 per hour
63525 per year  
12.85 per hour  
32.87 per hour  
17.56 per hour 
16.37 per hour  
45519 per year
36.27 per hour  
74039 per year  
15.28 per hour  
74330 per year  
14.58 per hour  
12.21 per hour 
87308 per year  
57605 per year
57670 per year  
80764 per year  
50162 per year  
80595 per year
73786 per year  
54364 per year
16.27 per hour
1157 per week 
11.39 per hour  
47424 per year  
226770 per year  
18.38 per hour  
73598 per year  
72040 per year
12.42 per hour  
240235 per year 
48166 per year  
12.61 per hour
50000 per year
42028 per year  
122940 per year  
243173 per year  
100241 per year  
11.88 per hour  
61353 per year 
13.76 per hour  
75671 per year  
10.66 per hour  
17.17 per hour
45097 per year
60785 per year
87222 per year
68275 per year  
66415 per year  
13.00 per hour   
14.31 per hour  
20.05 per hour
15.60 per hour
70301 per year  
20.36 per hour  
44.54 per hour  
75472 per year
139857 per year  
191437 per year 
212840 per year 
19.40 per hour  
25.69 per hour  
86578 per year  
20.01 per hour  
72417 per year 
25.90 per hour 
13.28 per hour  
199073 per year 
14.84 per hour
30.89 per hour
10.72 per hour
23.20 per hour
24.38 per hour
120672 per year  
24.36 per hour 
20.78 per hour 
78305 per year
321367 per year  
191769 per year  
38.20 per hour  
17.59 per hour  
91617 per year  
120971 per year  
14.02 per hour
134302 per year  
64791 per year
117819 per year  
12.83 per hour
9.98 per hour
11.88 per hour  
120143 per year
63705 per year  
10.65 per hour
56843 per year 
20.52 per hour  
76545 per year
67541 per year  
17.56 per hour
56909 per year 
51318 per year 
15.96 per hour
12.05 per hour  
93469 per year  
76651 per year
15.08 per hour
86891 per year
80636 per year  
14.21 per hour 
15.53 per hour
58208 per year  
83159 per year  
15.11 an hour  
14.64 per hour
16.22 per hour
13.66 per hour
41.00 per hour 
96040 per year   
13.11 per hour
80261 per year  
64495 per year  
10.88 per hour  
93304 per year  
15.54 per hour
24.29 per hour  
65118 per year  
13.74 per hour
10.63 per hour
16.35 per hour
21.12 per hour 
12.08 per hour  
292694 per year  
1874 per month  
60925 per year  
14.12 per hour  
62799 per year  
10.61 per hour 
83646 per year
89651 per year
70114 per year
74469 per year
17.71 per hour 
17.35 per hour 
67937 per year 
17.64 per hour  
68374 per year
108660 per year  
16.18 per hour  
14.77 per hour
52714 per year   
19.11 per hour 
11.14 per hour  
13.12 per hour  
21.05 per hour
82422 per year  
21.21 per hour 
63774 per year  
83199 per year  
89131 per year  
21.51 per hour  
79046 per year
78014 per year
83753 per year
17.18 per hour  
12.78 per hour  
30.14 per hour 
85570 per year  
110444 per year  
17.13 per hour 
291347 per year 
65261 per year  
73700 per year  
46511 per year  
18.39 per hour 
76255 per year  
77975 per year  
62827 per year
64426 per year  
14.43 per hour
15.34 per hour
69.21 per hour  
35.02 per hour  
112027 per year  
16.70 per hour  
17.37 per hour
41402 per year  
14.66 per hour 
16.52 per hour 
53545 per year  
 47452 per year
57048 per year  
40396 per year 
17.81 per hour  
