role,education_degree,salary,jobs,Summary,detail,skills,qualifications
Web Developer ,"Bachelor in Computer Science, Bachelor in Computer Engineering",70766 per year  ,"48,000+",Web developers are responsible for writing code to create a website both at the front end and the back end. The front end includes the website users see and the back end is the side that delivers information to the front end. In smaller firms a web developer is also responsible for some level of web design.,Understanding the company requirements or team requesting the website. Writing front and back end code to set up the parameters of the website. Working with designers on the website appearance. Creating a method to collect user feedback. Analyzing user feedback to fix errors and improve user experience (UX). Implementing testing tools to continuously monitor the website. Keeping all software current and updated. Ensuring websites and related applications are secure  ,CSS.  Web Development.  HTML5.  PHP.  JavaScript.  Bootstrap.  Angular.  React.  Node.js.  .NET.  MySQL.  AJAX ,MCSD. IAT. CompTIA Security+. IAT Level II. GSEC. GCED. SSCP. CCNA Security. Class E. Certified Scrum Master. CompTIA Advanced Security Practitioner. MCP 
Accountant ,Bachelor in Business Administration (with emphasis in Accounting),53545 per year  ,"56,000+",Accountants ensure companies and organizations are operating efficiently by accessing financial records and analyzing data finance reports budgets tax returns and accounting records. Accountants may work alongside Senior Accountants and other professionals within the accounting or finance department. Specific responsibilities may vary based on the company the accountant works for and the industry of the company Â but typically include:Â  ,Perform monthly quarterly and annual accounting activities including reconciliations of bank and credit card accounts coordination and completion of annual audits and reviewing financial reports/support as necessary. Analyze and report on financial status including income statement variances communicating financial results to management budget preparation and analysis. Documents financial transactions. Recommends financial actions by analyzing accounting options. Improve systems and procedures and begin corrective actionsÂ . Oversee taxes and abide by federal regulationsÂ  ,QuickBooks.  Accounting.  Accounting Software.  Account Reconciliation.  Bookkeeping.  Sage.  GAAP.  General Ledger Accounting.  General Ledger Reconciliation.  Microsoft Excel.  Financial Statement Preparation.  Pivot Tables ,CPA. Certified Management Accountant. Certified Bookkeeper. Certified Internal Auditor. Non-CDL Class C. Enrolled Agent. Certified Investment Management Analyst. Certified Notary Public. Certified Government Financial Manager. Certified Accounts Payable Professional. Certified Public Finance Officer 
Midwife ,"Degree in Women Studies, Bachelor in Anthropology, Bachelor in Sociology, Bachelor in Psychology",106089 per year  ,"57,000+",A midwife is a healthcare professional who assists female patients before during and after natural labor. They specialize in helping women give birth without medical interventions such as inductions and pain treatments. Some of the most common responsibilities include: ,Advising pregnant patients on prenatal care including diet exercise and supplements. Providing emotional support for expecting parents especially during labor. Establishing birth plans including preparing the birth space. Consulting with obstetricians gynecologists and other medical professionals. Ordering medical tests as necessary. Guiding female patients during labor with a focus on a safe comfortable experience. Assisting new parents with infant care during the babyâ€™s first 28 days of life. Instructing new parents on feeding and swaddling methods. Educating patients in a variety of ages on family planning and disease prevention ,Nursing.  Sonography.  eClinicalWorks.  Athenahealth.  Pain Management.  Family Planning.  Epic.  TFS.  Babysitting.  Serving Experience.  Tribal Law.  Physical Examinations ,Certified Nurse-Midwife. NALS Certification. APRN. NRP Certification. RN. PA-C. DEA Certification. BLS Certification. CPR Certification. Certified Nurse Practitioner. AHA Certification. Fetal Monitoring Certification 
Software Architect ,"Bachelor in Computer Science, Bachelor in Computer Engineering, Bachelor in Information Systems",140419 per year  ,"41,000+",A software architect is an expert-level software developer who communicates with businesses and clients to design and execute solutions with a team of software engineers. A software architect makes executive software design decisions. They often act as a designer developer and communicator. Responsibilities include: ,Researching and evaluating technical standards and tools for a project and determining which ones are the optimal choice. Separating a projectâ€™s goal into several smaller solvable problems. Communicating business requirements criteria and needs to software development teams. Designing and revising a projectâ€™s structure and UML (Unified Modeling Language) diagram. Distributing development tasks to a team of software engineers. Quality assurance testing segments of project code and checking for errors. Writing sections of code as part of development in a project ,Cloud Architecture.  Solution Architecture.  AWS.  .NET.  Azure.  Cloud Infrastructure.  PaaS.  Spring.  DevOps.  Java.  APIs.  IaaS ,TOGAF Certification. CISSP. MCSE. MCSD. ITIL Certification. CSSLP. CISM. CompTIA Security+. Certified Scrum Master. CCIE. CEH. CCNP 
Sales Engineer ,Bachelor of Engineering,84687 per year  ,"46,000+",Sales engineers sell products or services for a company. They often specialize in selling highly technical products or services and they spend a significant amount of time researching their products to ensure they understand them completely. Sales engineers may sell products such as computer systems programmable automated machinery and mechanical equipment used for moving or controlling material goods. Duties and responsibilities of sales engineers may include: ,Collaborating with sales teams to understand customer requirements. Consulting with customers and engineers to assess needs and determine system requirements. Planning and modifying product configuration to meet customer needs. Preparing and delivering presentations to explain products or services to customers ,Pre-sales.  Product Demos.  Sales Experience.  Sales Support.  SaaS.  Enterprise Sales.  Presentation Skills.  MPLS.  Salesforce.  OEM.  Computer Networking.  CRM Software ,CCDA. MCP. CCNA. MCSE. CCNP. CISSP. CEH. CompTIA Network+. CGEIT. CISM. Offensive Security Certified Professional 
Psychotherapist ,Bachelor in Psychology,44.77 per hour ,"51,000+",Psychotherapists are highly trained healthcare professionals who evaluate and treat patients with mental health issues. Psychotherapists can treat depression anxiety stress phobias behavioral or relationship problems and psychosomatic disorders. During therapy sessions psychotherapists must listen to their clients carefully and with compassion to develop personalized treatment plans. ,Conduct sessions with patients under a tailored therapy program. Gain an understanding of the emotions and feelings of the client through conversation. Guide the client to address their inner conflicts and help them develop methodologies to manage disorders. Use cognitive behavioral therapy to treat clients as appropriate. Maintain a record of client consultationsÂ  ,Psychotherapy.  PTSD Care.  Group Therapy.  Intake Experience.  Addiction Counseling.  Mental Health Counseling.  Experience with Children.  Child & Family Counseling.  Behavioral Health.  Social Work.  Motivational Interviewing.  Crisis Intervention ,Marriage & Family Therapy Certification. LPC. Licensed Psychologist Credentials. LCPC. LMHC. Licensed Clinical Social Worker. EMDR Certification. LICSW. LCSW-C. LMSW. LPCC. LCMHC 
Computer Engineer ,Bachelor in Computer Engineering,83159 per year  ,"47,000+",Computer engineers design test implement and maintain computer software and hardware systems. They ensure that both the physical hardware components and software programming components work together smoothly for their clients. Some computer engineers specialize in fields like robotics virtual reality artificial intelligence mobile apps and operating systems. Computer engineer duties include: ,Researching software and computer hardware. Designing and testing computer hardware components such as processors circuit boards memory devices and routers. Writing and testing software for mobile devices and computers. Designing setting up and testing networks. Managing operating systems. Designing and testing robots. Creating programming to support a range of products from aircraft components to surgical technology ,C/C++.  Assembly.  Calculus.  Computer Networking.  Linux.  Windows.  Visual Studio.  Computer Science.  System Design.  .NET.  Java.  COBOL ,IAT. IAT Level III. Fundamentals of Engineering. IAT Level II. GSNA. CompTIA Security+. Childcare Certification. CCNA Security. MCSE. Offensive Security Certified Professional. CCNA. CISSP 
Account Officer ,Bachelor in Business Administration,57048 per year  ,"45,000+",An account officer manages a businessâ€™s accounts payable and receivable. As the foundation of an organizationâ€™s bookkeeping operation an account officer monitors all account transactions and tracks all incoming and outgoing funds. Other duties include the following: ,Maintain the companyâ€™s cost records (labor materials overhead). Verify the accuracy of invoices. Reconcile accounts with the general ledger. Resolve general account queries. Contact clients about past due amountsÂ . Post and document payments immediately upon receipt. Initiate collections for delinquent accounts ,Account Management.  Analysis Skills.  Bookkeeping.  Curriculum Development.  Accounting.  Statistical Analysis.  Conflict Management.  10 Key Calculator.  Cashiering.  Administrative Experience.  Communication Skills.  Pivot Tables ,Series 63. Series 65. FINRA License. Series 7. Certified Anti-Money Laundering Specialist. CPA 
IT Technician ,"Bachelor Degree in Information Technology, Bachelor in Computer Science, Bachelor in Computer Engineering",74039 per year  ,"42,000+",An IT technician is an information technology and business professional who serves as the primary point of contact for IT issues within an organization. This professional handles the installation repair and maintenance of computer systems. Responsibilities for an IT technician typically include: ,Troubleshooting and resolving IT-related issues for employees customers and clients. Upgrading systems to ensure compatible software is installed on all computers and other equipment. Installing and configuring new hardware and software. Inspecting computer hardware to ensure functionality and repairing or replacing items as needed. Monitoring the performance of networking equipment and servers to ensure efficiency and prevent downtimes. Installing and testing firewalls servers software and hardware for functionality ,Network Administration.  IT Experience.  Windows.  Computer Skills.  Computer Networking.  IT Support.  Remote Access Software.  LAN.  Help Desk.  Troubleshooting.  Operating Systems.  Active Directory ,MTA. CompTIA A+. CompTIA Network+. MCTS. CompTIA Security+. MCSA. MCITP. MCP. IAT. CCNA. MCSE. IAT Level II 
Scrum Master ,"Bachelor in Computer Science, Bachelor in Information Systems, Bachelor in Computer Engineering",107526 per year  ,"41,000+",A scrum master ensures professional teams follow processes to complete projects. Scrum is a type of project management methodology that uses Agile principles. Scrum masters use specific project management techniques that help them release a product or service in stages so customers can offer input at every step. Since they employ group decision-making scrum masters are often considered servant leaders. Though scrum masters can work in a variety of industries they share common duties: ,Work with team members to establish timelines for project stages called â€œsprintsâ€. Ensure their team has all the resources needed to complete tasks. Remove any impediments or obstacles that could slow down a timeline. Schedule and attend a variety of meetings referred to as â€œceremoniesâ€. Ensure the team follows best Scrum practices throughout a project. Hold retrospects or meetings after sprints to review progress and setbacks. Encourage a positive working environment for all team members ,Scrum.  SAFe.  Agile.  Kanban.  Jira.  Confluence.  Continuous Integration.  Software Development.  VersionOne.  Test Driven Development.  SDLC.  Lean ,Certified Scrum Master. PMI-ACP. PMP. PMI Certification. Certified Project Manager. Lean Six Sigma Certification. Six Sigma Certification. CompTIA Security+. PgMP. CAPM. IIBA Certification. Certified Dental Assistant 
