role,education_degree,salary,jobs,Summary,detail,skills,qualifications
Software Developer ,"Bachelor in Computer Science, Bachelor in Computer Engineering",92609 per year  ,"114,000+",A software developer designs software or applications that allow users to perform specific tasks such as building a spreadsheet watching a movie or playing a game on computers and mobile devices. While some software developers focus on creating specific software or applications others focus on creating large networks or systems that manage the devices or control networks. Other duties and responsibilities of a software developer include: ,Assessing†new and existing software systems. Improving existing computer systems. Performing maintenance to existing systems by identifying and correcting errors or defects. Creating code for new software and updates. Creating operational manuals and systems specifications. Consulting with project managers or clients on the progress of developing software to review possible†suggestions improvements or requirements. Submitting reports on the project's progress ,C/C++.  Software Development.  C#.  Java.  OOP.  Data Structures.  .NET.  JavaScript.  Go.  Spring.  React.  Distributed Systems ,CompTIA Security+. MCSD. IAT. CCNA Security. IAT Level II. SSCP. GSEC. CISSP. Certified Scrum Master. CCNA. CSSLP. Certified Benefits Professional 
Data Scientist ,"Bachelor in Mathematics and Statistics, Bachelor in Computer Science, Bachelor in Computer Engineering",120971 per year  ,"23,000+",Data scientists analyze raw data and synthesize it into results that can be easily understood. This relatively new career path merges programming statistics and business logic and data scientists use their skills in programming statistics and machine learning to analyze the data and use it for form conclusions. They may work in social media companies and use the user data to understand habits and suggest content that the users will enjoy. They may also work in politics and make predictions about the election results. In general data scientists use the data from their analyses to solve real-world problems in business and politics. Some of their primary duties include: ,Understanding the model that is the best fit for the data they are analyzing and developing statistical learning models based on their research. Collaborating with other departments to understand the needs of organizations and using raw data and machine learning to identify solutions. Communicating the results of their analyses to top executives and other key decision-makers. Staying up-to-date on the latest trends in technology that could provide solutions for organizational challenges ,Machine Learning.  R.  Data Mining.  Data Science.  Spark.  Natural Language Processing.  Regression Analysis.  Python.  AI.  Hadoop.  Apache Hive.  TensorFlow ,Certified Dental Assistant. Lean Six Sigma Green Belt. Certified Scrum Master. Six Sigma Certification. GCED. ASA. PMP. FSA. CompTIA Advanced Security Practitioner. CCNA Security. CompTIA Security+. GCFA 
Pathology Assistant ,Medical Degree in Biology,86611 per year  ,"96,000+",A pathology assistant or pathologists' assistant works directly with a pathologist to examine and report information about surgical specimens. Along with the pathologist a pathology assistant examine specimens and takes samples to test analyze and better understand them. Some pathology assistants may also help with diagnosis by evaluating human organs or biopsies. A pathology assistant may have the following responsibilities: ,Examine and describe individual specimens removed from the human body. Assist in determining the cause of death. Preserve samples to assist with student training. Test samples for disease or inconsistencies. Operate medical equipment to gather additional information , , 
Physician ,Medical Degree in Biology,199566 per year ,"79,000+",A physician provides medical care and treatment for patients. Physicians who may also be referred to as doctors or medical practitioners treat physical mental and emotional issues. They can specialize in a range of areas which will determine what type of care and treatment they provide. Some of their primary duties include:,Reviewing patients' medical histories. Documenting findings and treatment plans in patient medical records. Performing physical and mental assessments on patients to diagnose medical conditions. Ordering and performing medical tests. Designing and recommending treatment plans. Addressing concerns and answering questions from patients. Reviewing test results. Prescribing medication. Performing surgery closing wounds setting broken bones and administering other medical procedures ,Primary Care Experience.  Pharmacy Residency.  Suturing.  SOAP.  Epic.  Botox Experience.  EMR Systems.  Post Residency Experience.  Occupational Health Experience.  Medical Management.  Pain Management.  Workers' Compensation Law ,Medical License. BC/BE. DEA Certification. BC/BE Family Medicine. BC/BE Internal Medicine. ATLS Certification. ACLS Certification. CPR Certification. BLS Certification. Physician Assistant License. PALS Certification. Emergency Nursing Pediatric Course 
Computer Programmer ,"Bachelor in Computer Science, Bachelor in Computer Engineering",58208 per year  ,"86,000+",Computer programmers write the code that powers software applications. They use a variety of computer languages to develop test and fix programs. Some specialize in certain types of applications such as mobile programs or software as a service. Computer programmers are responsible for the following tasks: ,Translate program designs into code. Work closely with software engineers and developers who create plans for applications. Master computer languages. Leverage the resources on the internet especially open-source libraries. Testing and troubleshoot programs. Use integrated development environments (IDEs) to write and test code,Pegasystems.  Apache Pig.  Visual Basic.  .NET.  C/C++.  J2EE.  Requirements Gathering.  C#.  Java.  HBase.  Apache Hive.  ASP.NET ,MCSD. CompTIA Security+. CompTIA Linux+. IAT. CCNA Security. SSCP. IAT Level II. IAT Level I. IAT Level III. CompTIA A+. CCNP. GSEC 
Quality Engineer ,"Bachelor in Mechanical Engineering, Bachelor in Industrial Engineering",43.31 per hour  ,"75,000+",A quality engineer oversees an organizations' manufacturing and engineering processes by ensuring the proper use of tools materials and procedures. They also work with the quality team to create and maintain standards for manufactured products. Other tasks a quality engineer may perform include: ,Work with suppliers to make sure all the components and raw materials meet the organization's quality standards. Analyze customer feedback to identify potential flaws in the manufactured products and implement changes when necessary. Monitor the quality of employee training and the safety standards required in the manufacturing process. Document any issues in the production process and develop ways to fix them. Stay up to date with legal standards the manufactured products must meet and ensure all products are within those standards. Create and present quality reports that analyze internal and external quality standards,ISO 9001.  APQP.  PPAP.  Root Cause Analysis.  Minitab.  Quality Assurance.  AS9100.  Quality Management.  ISO 13485.  Manufacturing.  Quality Systems.  Six Sigma ,Certified Quality Engineer. Six Sigma Certification. Certified Quality Auditor. ASQC Certification. Lean Six Sigma Certification. Lean Six Sigma Green Belt. IPC-610 Certification. Lean Six Sigma Black Belt. Certified Quality Technician. Certified Welding Inspector. Airframe & Powerplant License. CTBS 
Social Worker ,"Bachelor in Social Work, Bachelor in Psychology, Bachelor in Sociology",57469 per year,"85,000+",Social workers help individuals and families cope with various challenges including trauma debilitating injuries addiction disabilities and terminal illness. Some of a social workers' responsibilities include: ,Evaluating patients' needs based on their current situation and limitations. Communicating with patients helping to address their concerns and work toward their goals with a positive mindset. Collaborating with physical and occupational therapists to ensure the comfort of patients. Adhering to facility policies as well as government regulations. Building and implementing care plans for patients providing therapeutic support as needed ,Social Work.  Hospice Care.  Case Management.  Behavioral Health.  Addiction Counseling.  Motivational Interviewing.  Intake Experience.  Crisis Intervention.  Child Welfare.  Experience with Children.  Home Care.  Acute Care ,Clinical Social Worker. LMSW. Social Work License. LSW. Licensed Clinical Social Worker. LASW. Certified Social Worker. LICSW. LBSW. Professional Educator License. LISW. LSWAA 
Electrician ,"Associate Degree in Electrical Technology, Bachelor in Electrical Engineering",25.69 per hour  ,"62,000+",An electrician installs repairs and maintains the electrical wiring fixtures and outlets that make power accessible. Electricians may specialize in a particular area such as residential wiring outside cables or telecommunications wiring. Some duties involved in an electricians' job can include: ,Planning the layout of new electrical installations using blueprints. Installing telecommunications systems electrical machinery and other types of electrical equipment. Inspecting electrical installations and equipment to make sure they're safe functional and up to national state and local codes. Placing wires and connecting them to circuit breakers outlets transformers and other system components. Troubleshooting and repairing malfunctioning electrical equipment in homes and businesses. Instructing electrician assistants who help transport equipment cut and bend wiring and perform basic maintenance ,Electrical Experience.  NEC.  Hand Tools.  Programmable Logic Controllers.  Power Tools.  Schematics.  Troubleshooting.  Commercial Electrician Experience.  Construction Experience.  Generator Repair.  Low Voltage.  High Voltage ,Electrical License. Journeyman Electrician. Journeyman License. OSHA 10. Electrician Apprentice. Master Electrician. OSHA 30. Wireman License. NCCER Certification. Airframe & Powerplant License. NABCEP Certification 
Network Engineer ,"Bachelor in Computer Science, Bachelor in Information Systems, Bachelor in Computer Engineering",87442 per year,"67,000+",Network engineers design build implement and maintain the computer networks businesses and organizations use. These networks may include the phone system intranet extranet and more. Network engineers are responsible for the maintenance of these essential systems which may include assessing performance completing regular maintenance diagnosing issues and repairing problems. A network engineer's job responsibilities include: ,Maintaining computer networks and all associated systems including software hardware and applications. Maintaining firewalls updating virus protection software implementing data security systems and performing data backups to protect important information. Installing and configuring network equipment such as routers switches load balancers VPNs WAN accelerators and proxy servers. Performing ongoing monitoring and troubleshooting to find innovative ways to improve network performance Conducting regular maintenance tasks such as scheduling updates performing network upgrades managing security configurations and installing patches or service packs. Collaborating with third-party support services and service providers to ensure networks are operating optimally ,Network Engineering.  Juniper.  Computer Networking.  MPLS.  BGP.  LAN.  Routing Protocols.  Cisco ASA.  OSPF.  Load Balancing.  IPsec.  Network Administration ,CCNP. CCNA. CCIE. CompTIA Security+. CCDP. IAT. CCDA. IAT Level II. CompTIA Network+. JNCIA. CCNA Security. MCSE 
Doctor ,"Medical Degree in Biology, Chemistry, Psychology, or any related field",199073 per year ,"87,000+",Doctors also known as physicians provide treatments diagnoses and counseling to patients with illnesses injuries or diseases. Some doctors work in specialties such as cardiology neurology and surgery. Doctors can also work as general practitioners meaning they may assess patients with a variety of symptoms. Some of their primary duties include:,Meeting with patients and their families to discuss symptoms. Performing general examinations and ordering tests or treatments. Discussing test results. Prescribing medication as needed. Working with other medical professionals to provide the best patient care ,Primary Care Experience.  Pharmacy Residency.  Suturing.  SOAP.  Epic.  Botox Experience.  EMR Systems.  Post Residency Experience.  Occupational Health Experience.  Medical Management.  Pain Management.  Workers' Compensation Law ,Medical License. BC/BE. DEA Certification. BC/BE Family Medicine. BC/BE Internal Medicine. ATLS Certification. ACLS Certification. CPR Certification. BLS Certification. Physician Assistant License. PALS Certification. Emergency Nursing Pediatric Course 
Diesel Mechanic ,"Associate Degree in Diesel Engine Repair, Associate Degree in Service Technology",23.20 per hour,"68,000+","A diesel mechanic is a technician who works on diesel-powered vehicles and machines. They will spend most days inspecting vehicles, identifying problems and repairing them. Routine maintenance work is also common for a diesel mechanic. Other diesel mechanic responsibilities include:",Performing check-ups on diesel machinery and vehicles to check for warning signs for potential deterioration or future problems. Diagnosing broken diesel machinery to identify the source of malfunctions. Repairing damaged and non-functional units to working condition. Speaking with customers and asking questions to help guide inspections in order to more efficiently conduct repairs. Explaining problems with machinery to owners in relatable terms then explaining work which was done and what to watch out for following repairs ,Diesel Engine Repair.  Mechanic Experience.  Automotive Diagnostics.  Caterpillar.  Air Brake.  Vehicle Maintenance.  Quality Management.  Change Management.  Hydraulics.  Tanker Experience.  Brake Repair.  Mechanical Knowledge ,Diesel Mechanic Certification. CDL A. CDL. ASE Certification. CDL B. Motor Vehicle Inspection License. ASE Medium-Heavy Truck Certification. EPA 609 Certification. Hazmat Endorsement. Tanker Endorsement. Air Brake Endorsement 
High School Teacher ,Bachelor Degree in required field,47424 per year  ,"60,000+",A high school teacher educates students from ninth to twelfth grade in a subject such as English mathematics science history or geography to name a few. High school teachers develop lesson plans and curriculums for their students and will update their lessons as they learn varied learning styles. Some duties of a high school teacher include: ,Manage student attendance and progress reports. Develop lesson plans and curriculum for the full year or semester by semester. Know and reinforce school policies and procedures. Help students prepare for college. Communicate and work with parents on student progress. Chaperone school events and field trips. Assist with school-related extracurricular activities. Standard test preparation determined by the state. Tutor students after class or school who need extra help in grasping harder content and work with their learning styles to help them improve ,Teaching.  Classroom Management.  Calculus.  Cordova.  Classroom Experience.  Lesson Planning.  Special Education.  Experience Working With Students.  Math.  Algebra.  Geometry.  Behavior Management ,Teaching Certification. Special Education Certification. Professional Educator License. TESOL Certification. ESL Certification. LBS1. AED Certification. First Aid Certification. CPR Certification. Substitute Teaching Certification. Medical Laboratory Scientist Certification. MCSD 
Sales Consultant ,Bachelor in Business Administration (with emphasis in Sales),67703 per year ,"71,000+",A sales consultant uses their skills and experience to help businesses increase sales by suggesting specific improvements in the company's processes. The consultant might work for a consulting firm or they could be self-employed and work directly with clients on a contract basis. Some of their primary duties include:,Train sales representatives to use technology to improve sales conversions. Create and maintain mutually beneficial relationships with clients. Increase product knowledge and understanding of the market and competition to help sales representatives find the most effective selling strategies. Manage junior staff and hire additional sales professionals. Set appointments with prospects and follow up with them afterward. Teach sales reps to keep detailed organized records. Assist in the creation of procedures and protocols designed to increase conversion of leads into sales. Work with the marketing department to help improve brand awareness and online presence ,Retail Sales.  Sales Experience.  Basic Math.  B2B Sales.  Negotiation.  Door-to-Door Experience.  Analysis Skills.  Outside Sales.  Customer Service.  Direct Sales.  Communication Skills.  High-end Sales ,Motorcycle License. Life Insurance License. Real Estate License. Toyota Certification. Property & Casualty License. Series 6. FINRA License. Doubles/Triples Endorsement. Series 63. Series 7. CDL C 
Psychologist ,Medical Degree in Psychology,84807 per year,"65,000+",A psychologist is a clinical professional with expertise in the diagnosis prevention and treatment of mental health conditions. Some duties psychologists typically have are: ,Determining goals for psychotherapy. Performing diagnostic evaluations for patients. Understanding a patient's needs. Devising and implementing psychotherapeutic plans. Providing consultation to patients and groups. Attending program development ,PTSD Care.  Intake Experience.  Autism Experience.  Research Experience.  Psychotherapy.  Presentation Skills.  Mental Health Counseling.  Developmental Disabilities Experience.  Addiction Counseling.  EMR Systems.  Data Collection.  Primary Care Experience ,Licensed Psychologist Credentials. Licensed Clinical Social Worker. Marriage & Family Therapy Certification. LMHC. LPC. Medical License. EMDR Certification. Certified School Psychologist. LPCC. Clinical Nurse Specialist. LICSW. BC/BE 
Systems Engineer ,"Bachelor in Computer Science, Bachelor in Mechanical Engineering, Bachelor in Computer Engineering",102905 per year,"54,000+",Systems engineers oversee all aspects of a project or system in a variety of fields such as software transportation product development and manufacturing. Their job is to develop a system that creates a product from the beginning to the end. Systems engineers work in multiple industries and their duties vary accordingly. Here are some examples of what a systems engineer might do: ,Studying and monitoring existing systems to ensure structural integrity and assess required upgrades. Researching available software hardware and equipment necessary to optimize output. Installing new software operating systems and equipment. Designing and implementing security systems. Ensuring safety procedures are in place. Providing technical assistance and backup to others involved in the process. Monitoring all software hardware equipment and systems continuously and setting up protocols for feedback. Working with professionals in other fields such as marketing and management to troubleshoot and find optimal solutions ,Systems Engineering.  System Design.  Windows.  VMWare.  Linux.  Computer Networking.  Requirements Management.  Microsoft Windows Server.  SAN.  AWS.  DNS.  PowerShell ,MCSE. CompTIA Security+. IAT. IAT Level II. MCSA. MCP. CCNA. CompTIA Advanced Security Practitioner. MCITP. CISSP. GSEC. CompTIA Server+ 
Design Engineer ,"Bachelor in Design Engineering, Bachelor in Graphic Design, Bachelor in Manufacturing Engineering,  Bachelor in Mechanical Engineering",78305 per year,"51,000+",Design engineers use computer-aided design (CAD) software to develop test and improve manufacturing processes and product designs. They often work in teams to boost the functionality of a company's products and advance the methods by which they are made. Design engineer duties include: ,Meeting with managers and research and development (R&D) teams to understand the parameters of design requests. Using CAD and Computer Aided Engineering (CAE) software to convert ideas to models and plans. Working with other engineers on different aspects of the same project. Constructing and testing prototypes and designs. Revising ideas as new requirements arise. Ensuring all plans and prototypes conform to industry standards and guidelines ,SoC.  CAD.  Creo.  SolidWorks.  Mechanical Design.  CATIA.  AutoCAD.  Mechanical Engineering.  GD&T.  HVAC Design.  System Design.  Perl ,Professional Engineer. NABCEP Certification. Fundamentals of Engineering. HDI Certification. IAT Level III. Class D. LEED Certification. CTS-D. Non-CDL Class C. BICSI Certification. RCDD. Confined Space Certification 
