role,education_degree,salary,jobs,Summary,detail,skills,qualifications,education_summary
Software Developer ,"Bachelor in Computer Science, Bachelor in Computer Engineering",92609 per year,"114,000+",A software developer designs software or applications that allow users to perform specific tasks such as building a spreadsheet watching a movie or playing a game on computers and mobile devices. While some software developers focus on creating specific software or applications others focus on creating large networks or systems that manage the devices or control networks. Other duties and responsibilities of a software developer include: ,AssessingÂ new and existing software systems. Improving existing computer systems. Performing maintenance to existing systems by identifying and correcting errors or defects. Creating code for new software and updates. Creating operational manuals and systems specifications. Consulting with project managers or clients on the progress of developing software to review possibleÂ suggestions improvements or requirements. Submitting reports on the projectâ€™s progress ,C/C++.  Software Development.  C#.  Java.  OOP.  Data Structures.  .NET.  JavaScript.  Go.  Spring.  React.  Distributed Systems ,CompTIA Security+. MCSD. IAT. CCNA Security. IAT Level II. SSCP. GSEC. CISSP. Certified Scrum Master. CCNA. CSSLP. Certified Benefits Professional ,whatever
Data Scientist ,"Bachelor in Mathematics and Statistics, Bachelor in Computer Science, Bachelor in Computer Engineering",120971 per year,"23,000+",Data scientists analyze raw data and synthesize it into results that can be easily understood. This relatively new career path merges programming statistics and business logic and data scientists use their skills in programming statistics and machine learning to analyze the data and use it for form conclusions. They may work in social media companies and use the user data to understand habits and suggest content that the users will enjoy. They may also work in politics and make predictions about the election results. In general data scientists use the data from their analyses to solve real-world problems in business and politics. Some of their primary duties include: ,Understanding the model that is the best fit for the data they are analyzing and developing statistical learning models based on their research. Collaborating with other departments to understand the needs of organizations and using raw data and machine learning to identify solutions. Communicating the results of their analyses to top executives and other key decision-makers. Staying up-to-date on the latest trends in technology that could provide solutions for organizational challenges ,Machine Learning.  R.  Data Mining.  Data Science.  Spark.  Natural Language Processing.  Regression Analysis.  Python.  AI.  Hadoop.  Apache Hive.  TensorFlow ,Certified Dental Assistant. Lean Six Sigma Green Belt. Certified Scrum Master. Six Sigma Certification. GCED. ASA. PMP. FSA. CompTIA Advanced Security Practitioner. CCNA Security. CompTIA Security+. GCFA ,whatever
Pathology Assistant ,Medical Degree in Biology,86611 per year,"96,000+",,,,,
Physician ,Medical Degree in Biology,199566 per year,"79,000+",,,,,
Computer Programmer ,"Bachelor in Computer Science, Bachelor in Computer Engineering",58208 per year,"86,000+",,,,,
Quality Engineer ,"Bachelor in Mechanical Engineering, Bachelor in Industrial Engineering",43.31 per hour,"75,000+",,,,,
Social Worker ,"Bachelor in Social Work, Bachelor in Psychology, Bachelor in Sociology",57469 per year,"85,000+",,,,,
Electrician ,"Associate Degree in Electrical Technology, Bachelor in Electrical Engineering",25.69 per hour,"62,000+",,,,,
Network Engineer ,"Bachelor in Computer Science, Bachelor in Information Systems, Bachelor in Computer Engineering",87442 per year,"67,000+",,,,,
Doctor ,"Medical Degree in Biology, Chemistry, Psychology, or any related field",199073 per year,"87,000+",,,,,
Diesel Mechanic ,"Associate Degree in Diesel Engine Repair, Associate Degree in Service Technology",23.20 per hour,"68,000+",,,,,
High School Teacher ,Bachelor Degree in required field,47424 per year,"60,000+",,,,,
Sales Consultant ,Bachelor in Business Administration (with emphasis in Sales),67703 per year,"71,000+",,,,,
Psychologist ,Medical Degree in Psychology,84807 per year,"65,000+",,,,,
Systems Engineer ,"Bachelor in Computer Science, Bachelor in Mechanical Engineering, Bachelor in Computer Engineering",102905 per year,"54,000+",,,,,
Design Engineer ,"Bachelor in Design Engineering, Bachelor in Graphic Design, Bachelor in Manufacturing Engineering,  Bachelor in Mechanical Engineering",78305 per year,"51,000+",,,,,
Project Engineer ,Bachelor of Engineering,78813 per year,"50,000+",,,,,
Pharmacist ,Bachelor of Pharmacy,52.48 per hour,"51,000+",,,,,
Licensed Practical Nurse (LPN) ,Bachelor of Nursing,23.35 per hour,"59,000+",,,,,
Web Developer ,"Bachelor in Computer Science, Bachelor in Computer Engineering",70766 per year,"48,000+",,,,,
Accountant ,Bachelor in Business Administration (with emphasis in Accounting),53545 per year,"56,000+",,,,,
Midwife ,"Degree in Women Studies, Bachelor in Anthropology, Bachelor in Sociology, Bachelor in Psychology",106089 per year,"57,000+",,,,,
Software Architect ,"Bachelor in Computer Science, Bachelor in Computer Engineering, Bachelor in Information Systems",140419 per year,"41,000+",,,,,
Sales Engineer ,Bachelor of Engineering,84687 per year,"46,000+",,,,,
Psychotherapist ,Bachelor in Psychology,44.77 per hour,"51,000+",,,,,
Computer Engineer ,Bachelor in Computer Engineering,83159 per year,"47,000+",,,,,
Account Officer ,Bachelor in Business Administration,57048 per year,"45,000+",,,,,
IT Technician ,"Bachelor Degree in Information Technology, Bachelor in Computer Science, Bachelor in Computer Engineering",74039 per year,"42,000+",,,,,
Plumber ,,25.39 per hour,"33,000+",,,,,
Administrator ,,62827 per year,"399,000+",,,,,
Scrum Master ,"Bachelor in Computer Science, Bachelor in Information Systems, Bachelor in Computer Engineering",107526 per year,"41,000+",,,,,
Front End Developer ,"Bachelor in Computer Science, Bachelor in Graphic Design, Bachelor in Computer Engineering",100241 per year,"39,000+",,,,,
Account Representative ,,47452 per year,"40,000+",,,,,
Controller ,,93469 per year,"37,000+",,,,,
